fecha,volumen_contactos
2023-05-13,1099
2023-05-14,935
2023-05-15,1874
2023-05-16,1977
2023-05-17,1605
2023-05-18,1598
2023-05-19,1658
2023-05-20,1104
2023-05-21,936
2023-05-22,954
2023-05-23,1708
2023-05-24,1706
2023-05-25,1664
2023-05-26,1674
2023-05-27,1115
2023-05-28,873
2023-05-29,2061
2023-05-30,1903
2023-05-31,1727
2023-06-01,1685
2023-06-02,1569
2023-06-03,1211
2023-06-04,955
2023-06-05,1949
2023-06-06,2061
2023-06-07,1755
2023-06-08,1565
2023-06-09,1684
2023-06-10,1143
2023-06-11,981
2023-06-12,964
2023-06-13,1810
2023-06-14,1798
2023-06-15,1698
2023-06-16,1695
2023-06-17,1313
2023-06-18,930
2023-06-19,874
2023-06-20,1797
2023-06-21,1638
2023-06-22,1648
2023-06-23,1646
2023-06-24,1207
2023-06-25,973
2023-06-26,2003
2023-06-27,1998
2023-06-28,1668
2023-06-29,1859
2023-06-30,1649
2023-07-01,1125
2023-07-02,872
2023-07-03,909
2023-07-04,1814
2023-07-05,1722
2023-07-06,1646
2023-07-07,1565
2023-07-08,1105
2023-07-09,835
2023-07-10,1889
2023-07-11,1872
2023-07-12,1644
2023-07-13,1474
2023-07-14,1547
2023-07-15,1147
2023-07-16,842
2023-07-17,1897
2023-07-18,1752
2023-07-19,1491
2023-07-20,700
2023-07-21,1531
2023-07-22,1151
2023-07-23,899
2023-07-24,1697
2023-07-25,1612
2023-07-26,1569
2023-07-27,1514
2023-07-28,1475
2023-07-29,1257
2023-07-30,847
2023-07-31,1857
2023-08-01,1706
2023-08-02,1520
2023-08-03,1397
2023-08-04,1435
2023-08-05,973
2023-08-06,781
2023-08-07,740
2023-08-08,1569
2023-08-09,1575
2023-08-10,1234
2023-08-11,1370
2023-08-12,891
2023-08-13,739
2023-08-14,1702
2023-08-15,1499
2023-08-16,1277
2023-08-17,1255
2023-08-18,1309
2023-08-19,893
2023-08-20,731
2023-08-21,696
2023-08-22,1382
2023-08-23,1428
2023-08-24,1283
2023-08-25,1087
2023-08-26,894
2023-08-27,669
2023-08-28,1537
2023-08-29,1312
2023-08-30,1227
2023-08-31,1220
2023-09-01,1208
2023-09-02,797
2023-09-03,651
2023-09-04,1380
2023-09-05,1267
2023-09-06,1289
2023-09-07,1166
2023-09-08,1043
2023-09-09,853
2023-09-10,705
2023-09-11,1432
2023-09-12,1167
2023-09-13,1115
2023-09-14,1173
2023-09-15,1038
2023-09-16,807
2023-09-17,642
2023-09-18,1260
2023-09-19,1223
2023-09-20,931
2023-09-21,1020
2023-09-22,1036
2023-09-23,723
2023-09-24,654
2023-09-25,1201
2023-09-26,1177
2023-09-27,1099
2023-09-28,1133
2023-09-29,959
2023-09-30,805
2023-10-01,597
2023-10-02,1217
2023-10-03,1220
2023-10-04,1095
2023-10-05,1020
2023-10-06,1033
2023-10-07,744
2023-10-08,600
2023-10-09,1324
2023-10-10,1291
2023-10-11,1021
2023-10-12,1170
2023-10-13,936
2023-10-14,760
2023-10-15,621
2023-10-16,592
2023-10-17,1175
2023-10-18,1094
2023-10-19,1049
2023-10-20,1025
2023-10-21,814
2023-10-22,627
2023-10-23,1281
2023-10-24,1297
2023-10-25,1151
2023-10-26,1149
2023-10-27,1120
2023-10-28,771
2023-10-29,617
2023-10-30,1419
2023-10-31,1321
2023-11-01,1170
2023-11-02,1149
2023-11-03,1196
2023-11-04,808
2023-11-05,676
2023-11-06,633
2023-11-07,1317
2023-11-08,1284
2023-11-09,1237
2023-11-10,1218
2023-11-11,924
2023-11-12,686
2023-11-13,689
2023-11-14,1367
2023-11-15,1290
2023-11-16,1231
2023-11-17,1227
2023-11-18,932
2023-11-19,686
2023-11-20,1707
2023-11-21,1377
2023-11-22,1245
2023-11-23,1369
2023-11-24,1326
2023-11-25,975
2023-11-26,771
2023-11-27,1612
2023-11-28,1445
2023-11-29,1389
2023-11-30,1304
2023-12-01,1395
2023-12-02,979
2023-12-03,747
2023-12-04,1654
2023-12-05,1608
2023-12-06,1400
2023-12-07,1347
2023-12-08,630
2023-12-09,1038
2023-12-10,789
2023-12-11,1705
2023-12-12,1655
2023-12-13,1387
2023-12-14,1355
2023-12-15,1382
2023-12-16,1050
2023-12-17,851
2023-12-18,1939
2023-12-19,1764
2023-12-20,1532
2023-12-21,1503
2023-12-22,1405
2023-12-23,1093
2023-12-24,851
2023-12-25,850
2023-12-26,1668
2023-12-27,1629
2023-12-28,1664
2023-12-29,1510
2023-12-30,1145
2023-12-31,915
2024-01-01,840
2024-01-02,1802
2024-01-03,1625
2024-01-04,1588
2024-01-05,1491
2024-01-06,1147
2024-01-07,925
2024-01-08,937
2024-01-09,1900
2024-01-10,1830
2024-01-11,1544
2024-01-12,1644
2024-01-13,1174
2024-01-14,1016
2024-01-15,1888
2024-01-16,1759
2024-01-17,1622
2024-01-18,1451
2024-01-19,1550
2024-01-20,1130
2024-01-21,931
2024-01-22,2018
2024-01-23,2025
2024-01-24,1764
2024-01-25,1588
2024-01-26,1530
2024-01-27,1210
2024-01-28,867
2024-01-29,2175
2024-01-30,1968
2024-01-31,1650
2024-02-01,1499
2024-02-02,1714
2024-02-03,1176
2024-02-04,987
2024-02-05,1835
2024-02-06,1803
2024-02-07,1690
2024-02-08,1643
2024-02-09,1568
2024-02-10,1219
2024-02-11,879
2024-02-12,1977
2024-02-13,1866
2024-02-14,1729
2024-02-15,1693
2024-02-16,1510
2024-02-17,1088
2024-02-18,984
2024-02-19,2017
2024-02-20,1779
2024-02-21,1810
2024-02-22,1638
2024-02-23,1688
2024-02-24,1178
2024-02-25,1017
2024-02-26,2150
2024-02-27,1818
2024-02-28,1754
2024-02-29,1674
2024-03-01,1696
2024-03-02,1113
2024-03-03,950
2024-03-04,2073
2024-03-05,1673
2024-03-06,1568
2024-03-07,1451
2024-03-08,1561
2024-03-09,1207
2024-03-10,984
2024-03-11,1971
2024-03-12,1979
2024-03-13,1549
2024-03-14,1476
2024-03-15,1576
2024-03-16,1187
2024-03-17,913
2024-03-18,1760
2024-03-19,1822
2024-03-20,1556
2024-03-21,1669
2024-03-22,1611
2024-03-23,1111
2024-03-24,893
2024-03-25,838
2024-03-26,1829
2024-03-27,1749
2024-03-28,693
2024-03-29,733
2024-03-30,1140
2024-03-31,884
2024-04-01,1967
2024-04-02,1750
2024-04-03,1633
2024-04-04,1533
2024-04-05,1756
2024-04-06,1182
2024-04-07,896
2024-04-08,2015
2024-04-09,1851
2024-04-10,1676
2024-04-11,1697
2024-04-12,1676
2024-04-13,1160
2024-04-14,911
2024-04-15,1988
2024-04-16,1666
2024-04-17,1584
2024-04-18,1780
2024-04-19,1769
2024-04-20,1192
2024-04-21,977
2024-04-22,2074
2024-04-23,2201
2024-04-24,1835
2024-04-25,1678
2024-04-26,1578
2024-04-27,1126
2024-04-28,973
2024-04-29,1993
2024-04-30,1798
2024-05-01,768
2024-05-02,1621
2024-05-03,1824
2024-05-04,1297
2024-05-05,978
2024-05-06,2259
2024-05-07,1972
2024-05-08,1713
2024-05-09,1872
2024-05-10,1753
2024-05-11,1195
2024-05-12,983
2024-05-13,918
2024-05-14,1855
2024-05-15,1899
2024-05-16,1932
2024-05-17,1610
2024-05-18,1313
2024-05-19,973
2024-05-20,2108
2024-05-21,1958
2024-05-22,1758
2024-05-23,1789
2024-05-24,1678
2024-05-25,1309
2024-05-26,1014
2024-05-27,2157
2024-05-28,1945
2024-05-29,1801
2024-05-30,1868
2024-05-31,1809
2024-06-01,1238
2024-06-02,1029
2024-06-03,1026
2024-06-04,1879
2024-06-05,1915
2024-06-06,1749
2024-06-07,1823
2024-06-08,1257
2024-06-09,934
2024-06-10,911
2024-06-11,2058
2024-06-12,1891
2024-06-13,1728
2024-06-14,1829
2024-06-15,1197
2024-06-16,1021
2024-06-17,2064
2024-06-18,1980
2024-06-19,1863
2024-06-20,1724
2024-06-21,1728
2024-06-22,1362
2024-06-23,988
2024-06-24,2271
2024-06-25,1914
2024-06-26,1890
2024-06-27,1911
2024-06-28,1527
2024-06-29,1230
2024-06-30,1033
2024-07-01,958
2024-07-02,2036
2024-07-03,1758
2024-07-04,1761
2024-07-05,1699
2024-07-06,1332
2024-07-07,998
2024-07-08,2143
2024-07-09,1918
2024-07-10,1731
2024-07-11,1678
2024-07-12,1706
2024-07-13,1203
2024-07-14,975
2024-07-15,2268
2024-07-16,1990
2024-07-17,1698
2024-07-18,1768
2024-07-19,1593
2024-07-20,482
2024-07-21,886
2024-07-22,1805
2024-07-23,1815
2024-07-24,1672
2024-07-25,1747
2024-07-26,1597
2024-07-27,1139
2024-07-28,937
2024-07-29,1708
2024-07-30,1801
2024-07-31,1671
2024-08-01,1437
2024-08-02,1597
2024-08-03,1125
2024-08-04,846
2024-08-05,1902
2024-08-06,1902
2024-08-07,701
2024-08-08,1506
2024-08-09,1415
2024-08-10,1015
2024-08-11,862
2024-08-12,1689
2024-08-13,1640
2024-08-14,1441
2024-08-15,1457
2024-08-16,1407
2024-08-17,1066
2024-08-18,771
2024-08-19,749
2024-08-20,1485
2024-08-21,1379
2024-08-22,1385
2024-08-23,1373
2024-08-24,924
2024-08-25,789
2024-08-26,1721
2024-08-27,1524
2024-08-28,1475
2024-08-29,1250
2024-08-30,1187
2024-08-31,844
2024-09-01,778
2024-09-02,1594
2024-09-03,1427
2024-09-04,1311
2024-09-05,1177
2024-09-06,1364
2024-09-07,896
2024-09-08,700
2024-09-09,1539
2024-09-10,1411
2024-09-11,1261
2024-09-12,1156
2024-09-13,1201
2024-09-14,942
2024-09-15,719
2024-09-16,1554
2024-09-17,1303
2024-09-18,1151
2024-09-19,1163
2024-09-20,1146
2024-09-21,885
2024-09-22,602
2024-09-23,1515
2024-09-24,1298
2024-09-25,1162
2024-09-26,1091
2024-09-27,1031
2024-09-28,861
2024-09-29,651
2024-09-30,1301
2024-10-01,1211
2024-10-02,1157
2024-10-03,1236
2024-10-04,1103
2024-10-05,762
2024-10-06,639
2024-10-07,1371
2024-10-08,1122
2024-10-09,1177
2024-10-10,1133
2024-10-11,1163
2024-10-12,906
2024-10-13,690
2024-10-14,623
2024-10-15,1240
2024-10-16,1350
2024-10-17,1167
2024-10-18,1144
2024-10-19,844
2024-10-20,673
2024-10-21,1424
2024-10-22,1303
2024-10-23,1191
2024-10-24,1191
2024-10-25,1141
2024-10-26,837
2024-10-27,689
2024-10-28,1458
2024-10-29,1488
2024-10-30,1097
2024-10-31,1300
2024-11-01,1289
2024-11-02,806
2024-11-03,698
2024-11-04,676
2024-11-05,1335
2024-11-06,1262
2024-11-07,1210
2024-11-08,1372
2024-11-09,979
2024-11-10,786
2024-11-11,744
2024-11-12,1412
2024-11-13,1333
2024-11-14,1368
2024-11-15,1236
2024-11-16,1011
2024-11-17,762
2024-11-18,1634
2024-11-19,1618
2024-11-20,1461
2024-11-21,1369
2024-11-22,1454
2024-11-23,964
2024-11-24,830
2024-11-25,1790
2024-11-26,1605
2024-11-27,1516
2024-11-28,1364
2024-11-29,1500
2024-11-30,1053
2024-12-01,818
2024-12-02,1907
2024-12-03,1639
2024-12-04,1444
2024-12-05,1397
2024-12-06,1537
2024-12-07,1034
2024-12-08,427
2024-12-09,1687
2024-12-10,1914
2024-12-11,1629
2024-12-12,1564
2024-12-13,1505
2024-12-14,1168
2024-12-15,902
2024-12-16,2056
2024-12-17,1835
2024-12-18,1679
2024-12-19,1594
2024-12-20,1592
2024-12-21,1200
2024-12-22,852
2024-12-23,1872
2024-12-24,1948
2024-12-25,778
2024-12-26,1653
2024-12-27,1641
2024-12-28,1234
2024-12-29,930
2024-12-30,1977
2024-12-31,1942
2025-01-01,749
2025-01-02,1738
2025-01-03,1530
2025-01-04,1299
2025-01-05,996
2025-01-06,954
2025-01-07,2053
2025-01-08,1931
2025-01-09,1821
2025-01-10,1544
2025-01-11,1175
2025-01-12,958
2025-01-13,2127
2025-01-14,2035
2025-01-15,1741
2025-01-16,1771
2025-01-17,1656
2025-01-18,1231
2025-01-19,929
2025-01-20,2046
2025-01-21,1867
2025-01-22,1733
2025-01-23,1862
2025-01-24,1651
2025-01-25,1446
2025-01-26,1030
2025-01-27,2177
2025-01-28,1925
2025-01-29,1893
2025-01-30,1724
2025-01-31,1749
2025-02-01,1446
2025-02-02,1002
2025-02-03,2285
2025-02-04,1943
2025-02-05,1828
2025-02-06,1933
2025-02-07,1684
2025-02-08,1397
2025-02-09,1042
2025-02-10,2097
2025-02-11,2075
2025-02-12,1916
2025-02-13,1827
2025-02-14,1598
2025-02-15,1231
2025-02-16,991
2025-02-17,2143
2025-02-18,2066
2025-02-19,1837
2025-02-20,1647
2025-02-21,1761
2025-02-22,1311
2025-02-23,1027
2025-02-24,2258
2025-02-25,2079
2025-02-26,1855
2025-02-27,1752
2025-02-28,1578
2025-03-01,1294
2025-03-02,1005
2025-03-03,2163
2025-03-04,1861
2025-03-05,1709
2025-03-06,1843
2025-03-07,1711
2025-03-08,1306
2025-03-09,993
2025-03-10,2130
2025-03-11,2075
2025-03-12,1755
2025-03-13,1756
2025-03-14,1671
2025-03-15,1233
2025-03-16,975
2025-03-17,2148
2025-03-18,1933
2025-03-19,1914
2025-03-20,1669
2025-03-21,1695
2025-03-22,1233
2025-03-23,1063
2025-03-24,967
2025-03-25,2086
2025-03-26,1670
2025-03-27,1775
2025-03-28,1792
2025-03-29,1271
2025-03-30,1048
2025-03-31,2081
2025-04-01,2134
2025-04-02,2022
2025-04-03,1729
2025-04-04,1688
2025-04-05,1366
2025-04-06,1081
2025-04-07,2095
2025-04-08,1966
2025-04-09,1802
2025-04-10,1656
2025-04-11,1662
2025-04-12,1221
2025-04-13,973
2025-04-14,2170
2025-04-15,2053
2025-04-16,1991
2025-04-17,768
2025-04-18,832
2025-04-19,1287
2025-04-20,1021
2025-04-21,2275
2025-04-22,1940
2025-04-23,1908
2025-04-24,1835
2025-04-25,1830
2025-04-26,1337
2025-04-27,1165
2025-04-28,2160
2025-04-29,2029
2025-04-30,1840
2025-05-01,808
2025-05-02,1754
2025-05-03,1417
2025-05-04,1128
2025-05-05,2200
2025-05-06,2028
2025-05-07,1973
2025-05-08,1822
2025-05-09,1897
2025-05-10,1371
2025-05-11,988
2025-05-12,2476
2025-05-13,2339
2025-05-14,1895
2025-05-15,1863
2025-05-16,1891
2025-05-17,1399
2025-05-18,1119
2025-05-19,2562
2025-05-20,2155
2025-05-21,1901
2025-05-22,1791
2025-05-23,1818
2025-05-24,1390
2025-05-25,1194
2025-05-26,2293
2025-05-27,2222
2025-05-28,1998
2025-05-29,2058
2025-05-30,2145
2025-05-31,1367
2025-06-01,1078
2025-06-02,1123
2025-06-03,2288
2025-06-04,2199
2025-06-05,2011
2025-06-06,1880
2025-06-07,1453
2025-06-08,1171
2025-06-09,2478
2025-06-10,2276
2025-06-11,2125
2025-06-12,2072
2025-06-13,2049
2025-06-14,1458
2025-06-15,1100
2025-06-16,2395
2025-06-17,2349
2025-06-18,1930
2025-06-19,1986
2025-06-20,1871
2025-06-21,1407
2025-06-22,1173
2025-06-23,1073
2025-06-24,2204
2025-06-25,1860
2025-06-26,2005
2025-06-27,1951
2025-06-28,1540
2025-06-29,1073
2025-06-30,1062
2025-07-01,2198
2025-07-02,2124
2025-07-03,1896
2025-07-04,1887
2025-07-05,1409
2025-07-06,1081
2025-07-07,2240
2025-07-08,2150
2025-07-09,2033
2025-07-10,1770
2025-07-11,1833
2025-07-12,1290
2025-07-13,1109
2025-07-14,2067
2025-07-15,2019
2025-07-16,1916
2025-07-17,1959
2025-07-18,1766
2025-07-19,1264
2025-07-20,501
2025-07-21,2014
2025-07-22,1793
2025-07-23,1863
2025-07-24,1715
2025-07-25,1627
2025-07-26,1301
2025-07-27,994
2025-07-28,2037
2025-07-29,1819
2025-07-30,1834
2025-07-31,1750
2025-08-01,1642
2025-08-02,1321
2025-08-03,894
2025-08-04,1861
2025-08-05,1802
2025-08-06,1683
2025-08-07,741
2025-08-08,1564
2025-08-09,1180
2025-08-10,849
2025-08-11,2069
2025-08-12,1780
2025-08-13,1705
2025-08-14,1583
2025-08-15,1549
2025-08-16,1140
2025-08-17,885
2025-08-18,857
2025-08-19,1822
2025-08-20,1558
2025-08-21,1539
2025-08-22,1440
2025-08-23,1135
2025-08-24,799
2025-08-25,1921
2025-08-26,1629
2025-08-27,1369
2025-08-28,1430
2025-08-29,1336
2025-08-30,1055
2025-08-31,765
2025-09-01,1649
2025-09-02,1415
2025-09-03,1380
2025-09-04,1197
2025-09-05,1221
2025-09-06,1009
2025-09-07,789
2025-09-08,1655
2025-09-09,1430
2025-09-10,1356
2025-09-11,1311
2025-09-12,1204
2025-09-13,1008
2025-09-14,765
2025-09-15,1549
2025-09-16,1456
2025-09-17,1330
2025-09-18,1142
2025-09-19,1226
2025-09-20,880
2025-09-21,678
2025-09-22,1505
2025-09-23,1547
2025-09-24,1328
2025-09-25,1210
2025-09-26,1252
2025-09-27,958
2025-09-28,734
2025-09-29,1508
2025-09-30,1355
2025-10-01,1316
2025-10-02,1256
2025-10-03,1260
2025-10-04,917
2025-10-05,735
2025-10-06,1457
2025-10-07,1488
2025-10-08,1283
2025-10-09,1361
2025-10-10,1167
2025-10-11,969
2025-10-12,709
2025-10-13,657
2025-10-14,1375
2025-10-15,1263
2025-10-16,1275
2025-10-17,1258
2025-10-18,880
2025-10-19,713
2025-10-20,1700
2025-10-21,1561
2025-10-22,1339
2025-10-23,1278
2025-10-24,1262
2025-10-25,957
2025-10-26,695
2025-10-27,1558
2025-10-28,1355
2025-10-29,1377
2025-10-30,1358
2025-10-31,1264
2025-11-01,1035
2025-11-02,711
2025-11-03,681
2025-11-04,1548
2025-11-05,1473
2025-11-06,1480
2025-11-07,1314
2025-11-08,1050
2025-11-09,786
2025-11-10,1685
2025-11-11,1664
2025-11-12,1505
2025-11-13,1310
2025-11-14,1505
2025-11-15,1111
2025-11-16,796
2025-11-17,814
2025-11-18,1704
2025-11-19,1541
2025-11-20,1444
2025-11-21,1414
2025-11-22,1084
2025-11-23,908
2025-11-24,1902
2025-11-25,1704
2025-11-26,1650
2025-11-27,1329
2025-11-28,1615
2025-11-29,1033
2025-11-30,878
2025-12-01,1823
2025-12-02,1693
2025-12-03,1751
2025-12-04,1577
2025-12-05,1618
2025-12-06,1176
2025-12-07,953
2025-12-08,907
2025-12-09,1761
2025-12-10,1805
2025-12-11,1635
2025-12-12,1522
2025-12-13,1196
2025-12-14,1038
2025-12-15,2169
2025-12-16,1915
2025-12-17,1749
2025-12-18,1706
2025-12-19,1883
2025-12-20,1287
2025-12-21,1018
2025-12-22,2256
2025-12-23,2032
2025-12-24,1809
2025-12-25,795
2025-12-26,1748
2025-12-27,1295
2025-12-28,1060
2025-12-29,2208
2025-12-30,2135
2025-12-31,1871
