fecha,volumen_pronosticado,ic_inferior_90,ic_superior_90,contactos_hora,agentes_base,fte_requerido
2026-02-01,1209.1731767777214,733.5304019164298,1684.815951639013,120.9,16,24
2026-02-02,2024.514931012501,1548.8369130941858,2500.192948930816,202.5,25,37
2026-02-03,2101.9993347206982,1626.2876171210085,2577.711052320388,210.2,26,39
2026-02-04,1940.150309583816,1464.406408586684,2415.894210580948,194.0,24,36
2026-02-05,1827.8899263095684,1351.8513543235038,2303.9284982956333,182.8,23,34
2026-02-06,1850.6534212171,1374.5829617863,2326.7238806479,185.1,23,34
2026-02-07,1471.48896727084,995.3880740768154,1947.5898604648648,147.1,19,28
2026-02-08,1212.8236017043755,736.6936470360492,1688.9535563727022,121.3,16,24
2026-02-09,2027.473581149274,1551.316021671017,2503.631140627531,202.7,25,37
2026-02-10,2104.296302181267,1628.1123444264722,2580.480259936062,210.4,26,39
2026-02-11,1941.8123079541697,1465.6031343209138,2418.0214815874256,194.2,24,36
2026-02-12,1828.9446794478165,1352.4625334914388,2305.4268254041936,182.9,23,34
2026-02-13,1851.127529886108,1374.6201285233224,2327.634931248893,185.1,23,34
2026-02-14,1471.4117918889067,994.8802856867048,1947.9432980911088,147.1,19,28
2026-02-15,1212.224148412217,735.6696205131793,1688.778676311254,121.2,16,24
2026-02-16,2026.381101627989,1549.804724447442,2502.957478808536,202.6,25,37
2026-02-17,2102.740976406468,1626.1437039506525,2579.3382488622824,210.3,26,39
2026-02-18,1939.8242477324727,1463.2070108498276,2416.4414846151185,194.0,24,36
2026-02-19,1826.5543125247973,1349.6817931927944,2303.4268318568006,182.7,23,34
2026-02-20,1848.3653557696705,1371.472606956232,2325.2581045831084,184.8,23,34
2026-02-21,1468.3087168680313,991.3966595217784,1945.220774214284,146.8,19,28
2026-02-22,1208.8111466911632,731.8806449164227,1685.7416484659038,120.9,16,24
2026-02-23,2022.68923403485,1545.7412441501622,2499.637223919538,202.3,25,37
2026-02-24,2098.801417078105,1621.836702749552,2575.7661314066577,209.9,26,39
2026-02-25,1935.6681491292009,1458.6874505965347,2412.648847661867,193.6,24,36
2026-02-26,1822.212803479392,1344.991373843496,2299.4342331152875,182.2,23,34
2026-02-27,1843.869479166549,1366.6316518165197,2321.1073065165783,184.4,23,34
2026-02-28,1463.6894232801976,986.4359441493395,1940.942902411056,146.4,19,28
2026-03-01,1204.099223351286,726.8307895943842,1681.367657108188,120.4,16,24
2026-03-02,2017.9152685167812,1540.6326711259862,2495.1978659075767,201.8,25,37
2026-03-03,2093.9957620695222,1616.6996204107463,2571.291903728298,209.4,26,39
2026-03-04,1930.860872004904,1453.5517810016488,2408.16996300816,193.1,24,36
2026-03-05,1817.433649101164,1339.8958530737282,2294.9714451285995,181.7,23,34
2026-03-06,1839.1478273302816,1361.5965733841306,2316.699081276433,183.9,23,34
2026-03-07,1459.054252057466,981.4901518736092,1936.6183522413223,145.9,19,28
2026-03-08,1199.5790667536048,722.0026894244932,1677.1554440827165,120.0,16,24
2026-03-09,2013.5381780960208,1535.950187300096,2491.126168891945,201.4,25,37
2026-03-10,2089.7892692597866,1612.1901742982,2567.388364221373,209.0,26,39
2026-03-11,1926.851949679169,1449.2422339821287,2404.4616653762087,192.7,24,36
2026-03-12,1813.6486751212915,1335.8202318556405,2291.4771183869425,181.4,23,34
2026-03-13,1835.6125483415788,1357.7729173551977,2313.45217932796,183.6,23,34
2026-03-14,1455.793748650293,977.9434379604488,1933.644059340137,145.6,19,28
2026-03-15,1196.6177189161094,718.7571987342906,1674.4782390979285,119.7,16,24
2026-03-16,2010.8996319211813,1533.0294672264204,2488.769796615942,201.1,25,37
2026-03-17,2087.496404635459,1609.6170202424644,2565.3757890284533,208.7,26,39
2026-03-18,1924.9268488493435,1447.0386420825937,2402.815055616093,192.5,24,36
2026-03-19,1812.1125924202224,1334.0139642971649,2290.2112205432795,181.2,23,34
2026-03-20,1834.4858809652533,1356.3778299536089,2312.5939319768977,183.4,23,34
2026-03-21,1455.0960086049895,976.9789621381886,1933.213055071791,145.5,19,28
2026-03-22,1196.3675060708165,718.2418574975685,1674.493154644064,119.6,16,24
2026-03-23,2011.1146082857013,1532.9808455482685,2489.248371023134,201.1,25,37
2026-03-24,2088.1932698658047,1610.0517525000585,2566.3347872315508,208.8,26,39
2026-03-25,1926.1213169960204,1447.9723753808605,2404.2702586111805,192.6,24,36
2026-03-26,1813.8193699733936,1335.4669431871894,2292.1717967595982,181.4,23,34
2026-03-27,1836.718646207257,1358.3581777659656,2315.0791146485485,183.7,23,34
2026-03-28,1457.867392305713,979.4992465746736,1936.2355380367528,145.8,19,28
2026-03-29,1199.689073539442,721.313583714425,1678.064563364459,120.0,16,24
2026-03-30,2014.996842809598,1536.6144362945538,2493.3792493246424,201.5,25,37
2026-03-31,2092.6455575542327,1614.2565431082403,2571.034572000225,209.3,26,39
